,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
WED,,TE6(15B11EC211) - 126/ASHISHG,TF8(15B11CI212) -121/HMA,TF8(15B11CI311) -121/MKS,,,TE2(15B11EC211) -126/SK,
WED,,LF3F4(15B11CI312)-226/DVP,LE1E2(18B11EC215) -230/BHC,TE1(18B11EC214) -126/SVS,,,,
WED,,,PF6(15B17CI372) - CL2/LTM,,,,,
WED,,,,,,,,
THUR,,,,,,,PF2(22B15HS211)-CR10/AB,
THUR,,TF7(15B11HS211) -225 /SKVA,,,,TF9(15B11HS211) -121 /AA,PE5(22B15HS211)-SR05/SHWETA,
THUR,LE1E2(19B13BT211)-148/ANS,LF3F4(15B11EC211) - 259/ABHIJEET,PE2(15B17EC271)-130/BAJRANG,,,LE1E2(15B11MA301) -148/NEHA,PE6(15B17EC271)-130/VKT,
THUR,,LF5F6(15B11EC211) -153 /ATUL,PE1-(18B15EC215)-224/HEMANT,,LE3E4(18B11EC214) -148/ABK,LE5E6(15B11HS211) -123/PRAVEEN,PE5-(18B15EC215)-224/ABHIJEET,
THUR,PF9(15B17EC271)-130/RAGHVENDRA,,,TF2(15B11CI212) -121/ARJ,,PF4(15B17CI371 ) -CL4/ MKS,,LE3E4(19B13BT211)-148/ANS
THUR,TF7(15B11CI311) -121/MKS,"LE3E4(15B11MA301)-148
/LKK/SARFARAZ",PF6(15B17CI371 ) -MML LAB/ ABS,,,PF3(15B17CI372) - CL2/ ADITI,,
THUR,LF3F4(15B11CI311)-153/NRJ,LE1E2(18B11EC215) -230/BHC,LF3F4(15B11CI212)-259/BDJ,LF7F8F9(15B11CI212)-153/HMA,,LF1F2(15B11CI312) -217/SGU,LF9(15B11EC211) - 123/VG,TF6(15B11CI311) -126/SKM
