,9 - 9:50 AM,10-10:50 AM,11-11:50 AM,12 NOON - 12:50 PM,1PM - 1:50 PM,2 PM - 2: 50 PM,3 PM - 3 :50 PM,4 PM -4:50 PM
Wednesday,,LF3F4(15B11CI312)-226/DVP,,,LE1E2(15B11EC211) -148 /SK,,,
Wednesday,,,,,,,,
Wednesday,,,,,,,,
Thursday,,,,,,,PF2(22B15HS211)-CR10/AB,
Thursday,,TF7(15B11HS211) -225 /SKVA,,,,TF9(15B11HS211) -121 /AA,,
Thursday,LE1E2(19B13BT211)-148/ANS,LF3F4(15B11EC211) - 259/ABHIJEET,PE2(15B17EC271)-130/BAJRANG,,,LE1E2(15B11MA301) -148/PINKEY,,
Thursday,,LF5F6(15B11EC211) -153 /ATUL,PE1-(18B15EC215)-224/HEMANT,,LE3E4(18B11EC214) -148/ABK,LE5(15B11HS211) -123/PRAVEEN,PE5-(18B15EC215)-224/ABHIJEET,
Thursday,PF9(15B17EC271)-130/RAGHVENDRA,,TF2(15B11CI311) -121/MKS,TF2(15B11CI212) -121/ARJ,,"PF4F8(15B17CI371 ) -CL4/ MKS,NRJ,SQM",,LE3E4(19B13BT211)-148/ANS
Thursday,TF7(15B11CI311) -121/MKS,LE3E4(15B11MA301)-148/LKK,PF6(15B17CI371 ) -MML LAB/ ABS,,,PF3(15B17CI372) - CL2/ ADITI,,
Thursday,LF3F4(15B11CI311)-153/NRJ,LE1E2(18B11EC215) -230/BHC,LF3F4(15B11CI212)-230/BDJ,LF7F8F9(15B11CI212)-153/HMA,,LF1F2(15B11CI312) -217/SGU,LF9(15B11EC211) - 123/VG,TF6(15B11CI311) -126/SKM
Thursday,LF5F6(15B11CI311)-123/VSG,LF1F2(15B11CI212)-123/ARJ,LE3E4(19B13BT211)- 148/ANS,LF3F4(15B11CI312)-259/DVP,,TE3(18B11EC215) -113/BHC,LE3E4(15B11HS211) -259/SKVA,TF7(15B11CI212) -113/HMA
Thursday,,TF8(15B11EC211) -121 /VG,"LF7F8F9(15B11HS211) -153
/PRAVEEN",,,TF7(15B11CI312) -126/LTM,LF5F6(15B11CI212)-153/ MKG,
Thursday,LF1F2(15B11CI312) -226/SGU,,PF5(22B15HS211)-HSS LAB/GAURIKA,,,,LE1E2(19B13BT211)-148 /ANS,
Thursday,,TF3(15B11CI312) -126/DVP,PE5(22B15HS211)-244B/SHWETA,,,,,
Thursday,,,TF1(15B1HS211)-126/SKVA,,,,,
Thursday,,,,,,,,
Friday,,,,,,,TF3(15B11HS211) -113/PRAVEEN,
